id,paciente_nome,cpf,procedimento,executado,prescricao,dentista,created_at,fraude,status,motivo_atencao,suspicious,attention_reason,motivos
169,Xavier Dantas,101011315258,Aplicação de flúor,Verniz aplicado,,Dra. Beatriz Luz,2023-01-09 10:05:00,0,normal,,False,,
170,Yanca Moraes,101111416269,Profilaxia (limpeza),Profilaxia simples,,Dra. Ana Clara,2023-01-14 09:10:00,0,atencao,,True,Profilaxia em 2023-01-14 → Canal em 2023-01-26 (≤ 15 dias),
171,Yanca Moraes,101111416269,Tratamento de canal,Canal dente 14,,Dra. Ana Clara,2023-01-26 10:00:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
172,Zack Gomes,101211517270,Controle de retorno,Sem queixas,,Dr. Pedro Lima,2023-02-02 14:40:00,0,normal,,False,,
173,Aída Torres,101311618281,Raspagem supragengival,Raspagem leve,Enxágue clorexidina,Dra. Beatriz Luz,2023-02-12 15:30:00,0,normal,,False,,
174,Baltazar Luz,101411719292,Clareamento dental,Primeira sessão,,Dr. Pedro Lima,2023-02-20 18:15:00,0,normal,,False,,
175,Carine Prado,101511820303,Profilaxia (limpeza),Profilaxia,,Dra. Ana Clara,2023-03-03 09:00:00,0,atencao,,True,Profilaxia em 2023-03-03 → Canal em 2023-03-15 (≤ 15 dias),
176,Carine Prado,101511820303,Tratamento de canal,Canal dente 33,,Dra. Ana Clara,2023-03-15 09:30:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
177,Denis Rocha,101611921314,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2023-03-28 11:40:00,0,normal,,False,,
178,Evelin Costa,101712022325,Profilaxia (limpeza),Profilaxia e polimento,,Dra. Beatriz Luz,2023-04-04 08:40:00,0,atencao,,True,Profilaxia em 2023-04-04 → Canal em 2023-04-16 (≤ 15 dias),
179,Evelin Costa,101712022325,Tratamento de canal,Canal dente 45,,Dra. Beatriz Luz,2023-04-16 09:35:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
180,Felipe Prado,101812123336,Retirada de pontos,Pós-operatório,,Dr. Pedro Lima,2023-04-29 16:20:00,0,normal,,False,,
181,Giovana Neri,101912224347,Clareamento dental,Segunda sessão,,Dra. Ana Clara,2023-05-07 18:05:00,0,normal,,False,,
182,Heitor Lopes,102012325358,Profilaxia (limpeza),Profilaxia,,Dra. Ana Clara,2023-05-12 09:00:00,0,atencao,,True,Profilaxia em 2023-05-12 → Canal em 2023-05-23 (≤ 15 dias),
183,Heitor Lopes,102012325358,Tratamento de canal,Canal dente 16,,Dra. Ana Clara,2023-05-23 10:00:00,1,atencao,Profilaxia seguida de tratamento de canal em até 15 dias.,False,,
184,Ingrid Fagundes,102112426369,Aplicação de flúor,Verniz aplicado,,Dr. Pedro Lima,2023-06-03 11:20:00,0,normal,,False,,
