id,paciente_nome,cpf,procedimento,codigo_tuss,executado,prescricao,dente,dentista,dentista_email,cro_dentista,created_at,fraude,status,motivo_atencao,suspicious
1,Fabio Cunha,4966319340,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,33,Dr. Roberto Carlos Lima,roberto.lima@odontovision.com.br,CRO-MG 28934,2022-01-01T00:00:00,0.0,normal,,False
2,Fabio Cunha,4966319340,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Sem prescrição medicamentosa,45,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-01T00:00:00,0.0,normal,,False
3,Camila Ferreira,70482814802,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 22, classe I oclusal",Sem prescrição medicamentosa,14,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-01T00:00:00,0.0,normal,,False
4,Camila Ferreira,70482814802,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 41,Paracetamol 500mg - 1 comp. 6/6h se dor,27,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-02T00:00:00,0.0,normal,,False
5,Camila Ferreira,70482814802,Clareamento Dentário,82000400.0,Clareamento dentário pela técnica de consultório - sessão única,Sem prescrição medicamentosa,16,Dra. Fernanda Cristina Alves,fernanda.alves@odontovision.com.br,CRO-SP 51234,2022-01-02T00:00:00,0.0,normal,,False
6,Camila Ferreira,70482814802,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Diclofenaco Potássico 50mg - 1 comp. 12/12h por 3 dias,33,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-02T00:00:00,0.0,normal,,False
7,Fabio Cunha,4966319340,Extração Dentária Simples,84000018.0,Exodontia do dente 18 com técnica minimamente invasiva,Sem prescrição medicamentosa,44,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-02T00:00:00,0.0,normal,,False
8,Fabio Cunha,4966319340,Extração Dentária Simples,84000018.0,Exodontia do dente 32 com técnica minimamente invasiva,Cefalexina 500mg - 1 comp. 8/8h por 7 dias | Dipirona 500mg - 1 comp. 6/6h se dor,42,Dra. Camila Beatriz Souza,camila.souza@odontovision.com.br,CRO-SP 48932,2022-01-03T00:00:00,0.0,normal,,False
9,Camila Ferreira,70482814802,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,32,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-03T00:00:00,0.0,normal,,False
10,Fabio Cunha,4966319340,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 16,Azitromicina 500mg - 1 comp. 8/8h por 7 dias | Dipirona 500mg - 1 comp. 6/6h se dor,48,Dr. Roberto Carlos Lima,roberto.lima@odontovision.com.br,CRO-MG 28934,2022-01-03T00:00:00,0.0,normal,,False
11,Fabio Cunha,4966319340,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,35,Dr. Rafael Augusto Pereira,rafael.pereira@odontovision.com.br,CRO-RJ 29845,2022-01-03T00:00:00,1.0,atencao,Profilaxia repetida em 2 dias (mínimo normal: 90 dias),True
12,Camila Ferreira,70482814802,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,25,Dr. Rafael Augusto Pereira,rafael.pereira@odontovision.com.br,CRO-RJ 29845,2022-01-04T00:00:00,1.0,atencao,Profilaxia repetida em 1 dias (mínimo normal: 90 dias),True
13,Camila Ferreira,70482814802,Tratamento de Canal (Endodontia),83000022.0,Tratamento endodôntico no dente 45 - sessão 3/3,Amoxicilina 500mg - 1 comp. 8/8h por 7 dias | Nimesulida 100mg - 1 comp. 12/12h por 3 dias,33,Dra. Fernanda Cristina Alves,fernanda.alves@odontovision.com.br,CRO-SP 51234,2022-01-04T00:00:00,1.0,atencao,Canal 0 dias após profilaxia (indica problema pré-existente não detectado) | Canal 2 dias após clareamento (altamente suspeito < 14 dias),True
14,Fabio Cunha,4966319340,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 18, classe I oclusal",Sem prescrição medicamentosa,46,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-04T00:00:00,0.0,normal,,False
15,Fabio Cunha,4966319340,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 47,Amoxicilina + Clavulanato 875mg - 1 comp. 8/8h por 7 dias | Paracetamol 500mg - 1 comp. 6/6h se dor | Nimesulida 100mg - 1 comp. 12/12h por 3 dias,47,Dr. Rafael Augusto Pereira,rafael.pereira@odontovision.com.br,CRO-RJ 29845,2022-01-04T00:00:00,0.0,normal,,False
16,Fabio Cunha,4966319340,Clareamento Dentário,82000400.0,Clareamento dentário pela técnica de consultório - sessão única,Sem prescrição medicamentosa,11,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-04T00:00:00,0.0,normal,,False
17,Fabio Cunha,4966319340,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Sem prescrição medicamentosa,37,Dr. Roberto Carlos Lima,roberto.lima@odontovision.com.br,CRO-MG 28934,2022-01-04T00:00:00,1.0,atencao,Múltiplos procedimentos no mesmo dia (3 procedimentos),True
18,Patricia Ribeiro,87262473131,Extração Dentária Simples,84000018.0,Exodontia do dente 13 com técnica minimamente invasiva,Paracetamol 750mg - 1 comp. 6/6h se dor | Nimesulida 100mg - 1 comp. 12/12h por 3 dias,43,Dra. Fernanda Cristina Alves,fernanda.alves@odontovision.com.br,CRO-SP 51234,2022-01-04T00:00:00,0.0,normal,,False
19,Fabio Cunha,4966319340,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Sem prescrição medicamentosa,17,Dra. Juliana Rodrigues Martins,juliana.martins@odontovision.com.br,CRO-RS 41567,2022-01-04T00:00:00,1.0,atencao,Múltiplos procedimentos no mesmo dia (4 procedimentos),True
20,Anderson Moreira,41395376719,Clareamento Dentário,82000400.0,Clareamento dentário pela técnica de consultório - sessão única,Azitromicina 500mg - 1 comp. 8/8h por 7 dias,36,Dra. Camila Beatriz Souza,camila.souza@odontovision.com.br,CRO-SP 48932,2022-01-05T00:00:00,1.0,atencao,Prescrição farmacológica sem procedimento compatível,True
21,Fabio Cunha,4966319340,Raspagem Periodontal,81000056.0,Raspagem e alisamento radicular nos quadrantes superiores,Sem prescrição medicamentosa,13,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-05T00:00:00,0.0,normal,,False
22,Anderson Moreira,53287101269,Restauração em Resina Composta,82000108.0,"Restauração em resina composta no dente 23, classe I oclusal",Sem prescrição medicamentosa,45,Dr. Lucas Gabriel Ferreira,lucas.ferreira@odontovision.com.br,CRO-BA 36789,2022-01-05T00:00:00,0.0,normal,,False
23,Camila Ferreira,70482814802,Coroa Protética,85000045.0,Preparo e moldagem para coroa protética no dente 22,Sem prescrição medicamentosa,44,Dr. Marcos Antonio Silveira,marcos.silveira@odontovision.com.br,CRO-SP 45821,2022-01-05T00:00:00,0.0,normal,,False
24,Anderson Moreira,53287101269,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 48,Cefalexina 500mg - 1 comp. 8/8h por 7 dias | Paracetamol 750mg - 1 comp. 6/6h se dor | Ibuprofeno 600mg - 1 comp. 12/12h por 3 dias,28,Dr. Roberto Carlos Lima,roberto.lima@odontovision.com.br,CRO-MG 28934,2022-01-05T00:00:00,0.0,normal,,False
25,Fabio Cunha,4966319340,Extração Dentária Simples,84000018.0,Exodontia do dente 44 com técnica minimamente invasiva,Azitromicina 500mg - 1 comp. 8/8h por 7 dias | Paracetamol 750mg - 1 comp. 6/6h se dor,34,Dr. Roberto Carlos Lima,roberto.lima@odontovision.com.br,CRO-MG 28934,2022-01-05T00:00:00,0.0,normal,,False
26,Camila Ferreira,70482814802,Clareamento Dentário,82000400.0,Clareamento dentário pela técnica de consultório - sessão única,Sem prescrição medicamentosa,32,Dr. Eduardo Henrique Santos,eduardo.santos@odontovision.com.br,CRO-PR 19876,2022-01-05T00:00:00,0.0,normal,,False
27,Anderson Moreira,41395376719,Clareamento Dentário,82000400.0,Clareamento dentário pela técnica de consultório - sessão única,Sem prescrição medicamentosa,27,Dra. Mariana Vitoria Carvalho,mariana.carvalho@odontovision.com.br,CRO-CE 34521,2022-01-06T00:00:00,0.0,normal,,False
28,Anderson Moreira,53287101269,Profilaxia Dentária (Limpeza),81000030.0,Realizada profilaxia completa com remoção de tártaro supragengival e polimento,Sem prescrição medicamentosa,34,Dra. Patricia Mendes Costa,patricia.costa@odontovision.com.br,CRO-RJ 32156,2022-01-06T00:00:00,0.0,normal,,False
29,Anderson Moreira,41395376719,Implante Dentário Unitário,86000022.0,Instalação de implante dentário na região do dente 25,Paracetamol 750mg - 1 comp. 6/6h se dor | Diclofenaco Potássico 50mg - 1 comp. 12/12h por 3 dias,24,Dr. Eduardo Henrique Santos,eduardo.santos@odontovision.com.br,CRO-PR 19876,2022-01-06T00:00:00,0.0,normal,,False
